# PAGES2kv2_NAm-GreenLakeLMR362 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_NAm-GreenLakeLMR362 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Schiefer, Erik,Menounos, Brian,Slaymaker, Olav
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Schiefer, Erik,Menounos, Brian,Slaymaker, Olav
#	Published_Date_or_Year: 
#	Published_Title: Extreme sediment delivery events recorded in the contemporary sediment record of a montane lake, southern Coast Mountains, British Columbia
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1139/e06-056
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Green Lake
#	Location: 
#	Country: 
#	Northernmost_Latitude: 50.2
#	Southernmost_Latitude: 50.2
#	Easternmost_Longitude: -122.9
#	Westernmost_Longitude: -122.9
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_NAm-GreenLakeLMR362
#	Earliest_Year: 1388
#	Most_Recent_Year: 1999
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[6, 7, 8]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##varve	natural log of varve thickness, , , , "[6, 7, 8]", Lake Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	varve
1841	0.11778
1840	0.072321
1839	0.69315
1838	0.85442
1837	1.2238
1836	0.65493
1835	0.82198
1834	1.1151
1833	1.5041
1832	0.68057
1831	0.70557
1830	1.0986
1829	0.93609
1828	0.89609
1827	0.64185
1826	0.48551
1825	0.90624
1824	0.65493
1823	-0.39304
1822	0.26236
1821	0.61519
1820	0.96508
1819	0.90624
1818	1.0116
1817	0.54523
1816	0.82198
1815	0.64185
1814	0.53063
1813	0.53063
1812	0.64185
1811	1.0561
1810	0.51581
1809	0.72996
1808	0.95551
1807	0.82198
1806	0.70557
1805	1.0647
1804	0.69315
1803	0.61519
1802	0.77703
1801	1.0902
1800	1.3481
1799	1.3674
1798	0.99325
1797	0.71784
1796	0.54523
1795	0.84372
1794	0.865
1793	0.93609
1792	0.87547
1791	0.5738
1790	1.1632
1789	1.1151
1788	0.77703
1787	1.0561
1786	1.2238
1785	1.0473
1784	1.5686
1783	1.6094
1782	1.0296
1781	1.4528
1780	1.2599
1779	0.82198
1778	1.3218
1777	1.8165
1776	1.0561
1775	0.58779
1774	0.51581
1773	1.1233
1772	0.42199
1771	0.47
1770	0.62861
1769	0.5738
1768	1.3083
1767	0.85442
1766	0.64185
1765	0.72996
1764	0.42199
1763	0.18232
1762	0.77703
1761	0.35417
1760	1.1939
1759	0.5738
1758	-0.16252
1757	0.55962
1756	2.1163
1755	1.0473
1754	1.2311
1753	1.3416
1752	1.1233
1751	1.0902
1750	0.84372
1749	1.4351
1748	0.75377
1747	1.5096
1746	0.62861
1745	1.1863
1744	0.85442
1743	1.3737
1742	0.81093
1741	1.1474
1740	1.0561
1739	1.1069
1738	0.76547
1737	0.83291
1736	1.2015
1735	1.4049
1734	0.87547
1733	1.4171
1732	1.8083
1731	0.97456
1730	1.1474
1729	1.1151
1728	1.4351
1727	1.0296
1726	1.5315
1725	1.0561
1724	1.1863
1723	1.1314
1722	1.0647
1721	0.88583
1720	0.71784
1719	1.1069
1718	1.2669
1717	1.4644
1716	0.90624
1715	1.274
1714	1.3416
1713	1.2947
1712	1.209
1711	0.83291
1710	0.93609
1709	1.0473
1708	0.93609
1707	1.3481
1706	0.865
1705	1.7918
1704	0.96508
1703	0.3001
1702	0.45426
1701	0.58779
1700	0.85442
1699	2.1691
1698	1.2238
1697	1.2879
1696	1.0647
1695	0.87547
1694	1.0296
1693	1.2015
1692	0.61519
1691	0.72996
1690	1.5261
1689	1.209
1688	1.3987
1687	1.2384
1686	1.3987
1685	1.3863
1684	0.99325
1683	1.1787
1682	1.4231
1681	1.6864
1680	1.0296
1679	1.2528
1678	1.1939
1677	0.85442
1676	0.61519
1675	0.53063
1674	0.74194
1673	0.71784
1672	0.47
1671	0.53063
1670	0.61519
1669	0.69315
1668	0.66783
1667	0.69315
1666	0.37156
1665	0.33647
1664	1.335
1663	1.8718
1662	1.6487
1661	1.0473
1660	0.93609
1659	0.95551
1658	0.99325
1657	1.0473
1656	1.3481
1655	1.1632
1654	0.71784
1653	1.2809
1652	0.58779
1651	1.1787
1650	0.93609
1649	1.6864
1648	1.579
1647	0.83291
1646	1.2384
1645	0.50078
1644	1.209
1643	1.4351
1642	1.3863
1641	0.66783
1640	0.74194
1639	0.85442
1638	1.5369
1637	1.3863
1636	0.97456
1635	1.6094
1634	1.5369
1633	1.1069
1632	0.04879
1631	0.38866
1630	0.96508
1629	1.1151
1628	0.60158
1627	0.64185
1626	1.6243
1625	0.96508
1624	0.81093
1623	0.82198
1622	1.0025
1621	1.0207
1620	1.1474
1619	1.274
1618	1.3545
1617	0.75377
1616	0.77703
1615	0.61519
1614	0.69315
1613	0.50078
1612	0.18232
1611	1.0296
1610	0.71784
1609	0.89609
1608	1.1151
1607	-0.25489
1606	0.0
1605	0.47
1604	0.42199
1603	0.43825
1602	0.99325
1601	0.60158
1600	1.0296
1599	0.99325
1598	1.0025
1597	0.72996
1596	0.91629
1595	1.2947
1594	0.76547
1593	1.2528
1592	0.60158
1591	0.93609
1590	0.51581
1589	0.88583
1588	0.85442
1587	0.50078
1586	0.82198
1585	1.0902
1584	0.75377
1583	1.1314
1582	1.1151
1581	0.53063
1580	0.98395
1579	0.90624
1578	1.3481
1577	1.0647
1576	1.2947
1575	1.0473
1574	1.0296
1573	0.78846
1572	0.78846
1571	0.93609
1570	0.83291
1569	1.0986
1568	1.1863
1567	0.865
1566	0.69315
1565	0.83291
1564	0.66783
1563	1.2809
1562	1.1151
1561	0.96508
1560	0.92624
1559	0.85442
1558	0.74194
1557	1.0415
1556	1.248
1555	0.64185
1554	2.0325
1553	0.47
1552	0.78085
1551	0.8473
1550	1.443
1549	0.8035
1548	0.70145
1547	0.34831
1546	0.55005
1545	1.6926
1544	0.72594
1543	1.0589
1542	0.98706
1541	1.0986
1540	0.8473
1539	1.2384
1538	1.2238
1537	1.6926
1536	1.5926
1535	1.1042
1534	0.88926
1533	0.86148
1532	0.82564
1531	1.2716
1530	0.61519
1529	0.98706
1528	0.77319
1527	0.85442
1526	1.0236
1525	0.43825
1524	1.2947
1523	1.5546
1522	0.55962
1521	0.74194
1520	0.97456
1519	1.3262
1518	0.76547
1517	0.40547
1516	0.9096
1515	0.47
1514	0.47
1513	0.75769
1512	0.92294
1511	1.0116
1510	0.54038
1509	0.65059
1508	1.4892
1507	0.86148
1506	0.86148
1505	1.0415
1504	0.82564
1503	1.0818
1502	0.66783
1501	1.0733
1500	0.79976
1499	1.0207
1498	0.78846
1497	0.50078
1496	0.77703
1495	0.45426
1494	0.88583
1493	0.72996
1492	0.85442
1491	0.78846
1490	0.74194
1489	1.1233
1488	0.43825
1487	0.94585
1486	0.62861
1485	0.85442
1484	0.96508
1483	0.94585
1482	1.2164
1481	0.81093
1480	1.0207
1479	0.96508
1478	0.76547
1477	0.76547
1476	0.70557
1475	0.90624
1474	0.71784
1473	1.1863
1472	0.31845
1471	0.78846
1470	0.92624
1469	1.0385
1468	0.87547
1467	1.0473
1466	0.98395
1465	1.1474
1464	0.88583
1463	0.88583
1462	0.75377
1461	0.66783
1460	0.69315
1459	0.64185
1458	1.0025
1457	0.38866
1456	0.47
1455	0.76547
1454	0.85442
1453	0.53063
1452	0.47
1451	1.411
1450	0.61519
1449	0.40547
1448	0.64185
1447	0.95551
1446	0.50078
1445	0.79976
1444	0.81093
1443	0.90624
1442	0.865
1441	0.93609
1440	0.68057
1439	0.50078
1438	1.2528
1437	0.87547
1436	0.76547
1435	0.96508
1434	0.82198
1433	0.75377
1432	0.68057
1431	0.50078
1430	0.66783
1429	0.35417
1428	0.53063
1427	0.68057
1426	0.58779
1425	0.5738
1424	0.40547
1423	0.37156
1422	0.42199
1421	0.68057
1420	0.60158
1419	0.78846
1418	0.60158
1417	0.45426
1416	0.26236
1415	0.38866
1414	0.58779
1413	0.20294
1412	0.43825
1411	0.68057
1410	0.58779
1409	0.31845
1408	0.47
1407	0.69315
1406	0.61519
1405	0.61519
1404	0.47
1403	0.3001
1402	0.18232
1401	0.22314
1400	0.26236
1399	0.22314
1398	0.0
1397	0.53063
1396	0.26236
1395	0.3001
1394	0.40547
1393	0.33647
1392	0.18232
1391	0.50078
1390	0.43825
1389	0.26236
1388	0.13976
