# PAGES2kv2_Ant-Vostok_Ekaykin_2014LMR32 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ant-Vostok_Ekaykin_2014LMR32 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Ekaykin, A.A.,Kozachek, A.V.,Lipenkov, V. Ya.,Shibaev, Yu. A.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Ekaykin, A.A.,Kozachek, A.V.,Lipenkov, V. Ya.,Shibaev, Yu. A.
#	Published_Date_or_Year: 
#	Published_Title: Multiple climate shifts in the Southern Hemisphere over the past three centuries based on central Antarctic snow pits and core studies
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.3189/201AoG66A189
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Vostok
#	Location: 
#	Country: 
#	Northernmost_Latitude: -78.2785
#	Southernmost_Latitude: -78.2785
#	Easternmost_Longitude: 104.8005
#	Westernmost_Longitude: 104.8005
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ant-Vostok_Ekaykin_2014LMR32
#	Earliest_Year: 1730
#	Most_Recent_Year: 2009
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##dD	deuterium isotope ratio, , , permil, "[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]", Ice Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	dD
1776	-446.641815805
1775	-447.593335424
1774	-444.222103234
1773	-442.75241376
1772	-446.145383798
1771	-445.878278728
1770	-446.311977839
1769	-445.159978263
1768	-440.102091227
1767	-439.231783402
1766	-447.264605161
1765	-443.430585729
1764	-443.558720304
1763	-442.220380749
1762	-441.881014822
1761	-444.193062191
1760	-445.44177333
1759	-446.996155984
1758	-447.939874057
1757	-447.236973455
1756	-445.169259787
1755	-441.2645155
1754	-446.745406704
1753	-436.635710639
1752	-436.433006482
1751	-434.72920574
1750	-434.843557057
1749	-441.243187817
1748	-440.924697327
1747	-440.606206837
1746	-440.287716348
1745	-439.972650894
1744	-439.658698379
1743	-439.860677653
1742	-440.445350093
1741	-441.030022533
1740	-441.614694973
1739	-442.199367412
1738	-442.784039852
1737	-443.368712292
1736	-443.76182336
1735	-443.853098835
1734	-443.94437431
1733	-444.035649786
1732	-444.126925261
1731	-444.218200736
1730	-444.901981608
1729	-445.590288845
1728	-446.278596083
1727	-446.973736552
1726	-447.976215368
1725	-448.978694185
1724	-449.981173002
1723	-450.983651818
1722	-451.986130635
1721	-440.036357756
1720	-440.042739228
1719	-440.049120701
1718	-440.055502173
1717	-439.828484614
1716	-439.47866764
1715	-439.128850667
1714	-438.779033694
1713	-438.429216721
1712	-438.079399748
1711	-437.729582774
1710	-437.379765801
1709	-437.029948828
1708	-437.111858232
1707	-438.257197543
1706	-439.402536853
1705	-440.547876164
1704	-441.693215475
1703	-442.838554786
1702	-443.983894097
1701	-445.129233407
1700	-446.274572718
1699	-447.419912029
1698	-448.315927113
1697	-449.190922995
1696	-450.065918877
1695	-450.940914759
1694	-451.815910641
1693	-452.690906524
1692	-453.565902406
1691	-454.440898288
1690	-455.31589417
1689	-455.418439591
1688	-454.903511117
1687	-454.388582643
1686	-453.873654168
1685	-453.358725694
1684	-452.84379722
1683	-452.328868745
1682	-451.813940271
1681	-451.299011797
1680	-450.745748572
1679	-450.028258669
1678	-449.310768766
1677	-448.593278863
1676	-447.87578896
1675	-447.158299057
1674	-446.440809154
1673	-445.723319251
1672	-445.005829348
1671	-444.288339445
1670	-444.70380723
1669	-445.36335493
1668	-446.02290263
1667	-446.682450331
1666	-447.341998031
1665	-448.001545731
1664	-448.661093431
1663	-449.320641131
1662	-449.980188832
1661	-450.642665209
1660	-451.308631929
1659	-451.974598648
1658	-452.640565367
1657	-453.306532086
1656	-453.972498805
1655	-454.638465524
1654	-455.304432244
